Column1,productname,productsubname,productprice,productactualprice,productrate
227,bewakoof x minions,Men's White Spy Minion Graphic Printed Oversized T-shirt,699,1699,0
228,bewakoof x minions,Men's Grey Spy Minion Graphic Printed Oversized T-shirt,699,1599,0
229,Bewakoof®,Men's White Never Mind Stripe Typography T-shirt,358,1299,0
230,Bewakoof®,Men's Blue Monkey King Graphic Printed T-shirt,399,1499,4.5
231,Bewakoof Air® 1.0,Men's Granite Green Mars Trip Graphic Printed T-shirt,799,1499,4.5
232,Bewakoof®,Men's Black The Panda Way Graphic Printed Oversized T-shirt,649,1499,0
233,Bewakoof®,Men's Grey T-shirt,449,999,4.5
234,bewakoof x peanuts,Men's White Charlie Jap Graphic Printed Oversized T-shirt,499,1499,4.6
235,Bewakoof Heavy Duty® 1.0,Men's Grey Super Loose Fit T-shirt,783,1999,4.4
236,Bewakoof Air® 1.0,Men's Glacier Grey Oversized T-shirt,529,999,4.4
237,bewakoof x dc,Men's Black The Dark Knight Graphic Printed T-shirt,449,1499,0
238,bewakoof x harry potter,Men's Blue Dementors Graphic Printed T-shirt,399,1149,0
239,bewakoof x garfield,Men's White Garfield Hates Mornings Graphic Printed Oversized T-shirt,699,1499,4.4
240,Bewakoof®,Men's Green T-shirt,449,699,4.4
241,Bewakoof®,Men's Navy Blue Textured Oversized Flatknit T-shirt,799,1899,4.4
242,Bewakoof®,Men's Blue Off Road Jeep Graphic Printed T-shirt,387,1299,4.3
243,Bewakoof®,Men's Blue Peace Out Astronaut Graphic Printed T-shirt,399,999,4.4
244,Bewakoof®,Men's Granite Green Boho Bud All Over Printed T-shirt,899,1699,4.4
245,Bewakoof Air® 1.0,Men's Gardenia T-shirt,391,899,4.4
246,bewakoof x tom & jerry,Men's Red Pocket Jerry Graphic Printed T-shirt,449,1099,4.5
247,Bewakoof®,Men's Black Textured Flatknit T-shirt,899,2199,4.5
248,Bewakoof Air® 1.0,Men's Coral Pink Mars Trip Graphic Printed T-shirt,799,1499,4.4
249,Bewakoof®,Men's White Textured Oversized Shirt,899,1999,4.6
250,bewakoof x friends,Men's Navy Blue Life is Better with Friends Graphic Printed Oversized T-shirt,699,1599,4.5
251,Bewakoof®,Men's Black Gundam Attack Mode Graphic Printed Oversized T-shirt,489,1599,0
252,bewakoof x peanuts,Men's Green Snoopy Play Graphic Printed Super Loose Fit T-shirt,484,1399,4.4
253,bewakoof x peanuts,Men's Black Charlie Jap Graphic Printed Oversized T-shirt,549,1499,4.6
254,bewakoof x harry potter,Men's Black Order Of The Phoenix Graphic Printed Oversized T-shirt,769,1499,4.5
255,Bewakoof®,Men's Black Muscle Fit T-shirt,399,999,4.4
256,Bewakoof®,Men's Off White Powered By Ramen Graphic Printed T-shirt,439,1499,4.5
257,bewakoof x harry potter,Men's Grey Death Mark Graphic Printed Oversized T-shirt,499,1249,4.5
258,bewakoof x friends,Men's Green Friends Quotes Graphic Printed Oversized T-shirt,549,1599,4.5
259,bewakoof x garfield,Men's Purple Hug It Out Graphic Printed T-shirt,449,1149,4.5
260,Bewakoof®,Men's Navy Blue Same Sh*t Typography T-shirt,484,1399,4.5
261,Bewakoof®,Men's Maroon Textured Oversized T-shirt,899,1899,4.5
262,Bewakoof®,Men's Blue Social Anxiety Graphic Printed T-shirt,599,1499,4.5
263,Bewakoof®,Men's Blue Infinity Space Graphic Printed Oversized T-shirt,649,1299,0
264,Bewakoof®,Men's Navy Blue World Champion Graphic Printed Oversized T-shirt,629,1549,4.5
265,Bewakoof®,Men's Brown Beast Within Graphic Printed Oversized T-shirt,549,1499,0
266,bewakoof x peanuts,Men's Purple Snoopy King Graphic Printed Oversized T-shirt,499,1499,4.3
267,Bewakoof®,Men's Black Dream Graphic Printed Oversized T-shirt,699,1499,4.5
268,Bewakoof®,Men's Black Gym Reaper Graphic Printed Oversized T-shirt,599,1299,4.3
269,Bewakoof®,Men's Brown The Warrior King Graphic Printed Oversized T-shirt,489,1499,4.4
270,bewakoof x nasa,Men's Black Fly Me To The Moon Graphic Printed Oversized T-shirt,599,1299,4.3
271,Bewakoof®,Men's Blue Street Racer Graphic Printed T-shirt,639,1599,4.5
272,Bewakoof®,Men's Blue Textured Flatknit T-shirt,899,2199,4.5
