Column1,productname,productsubname,productprice,productactualprice
97,Disney: Goofy The Goof,Oversized T-Shirts,999,999
98,Solids: Sky Blue,T-Shirts,349,599
99,The Godfather: Five Families,T-Shirts,849,849
100,Solids: Quince,Oversized T-Shirts,899,899
101,Spider-Man: Radioactive,Oversized Full Sleeve T-Shirts,999,999
102,TSS Originals: Made By Humans,Hooded T-Shirts,1499,1499
103,Jurassic Park: Logo,Oversized T-Shirts,1049,1049
104,Supima: Charcoal Grey,Supima T-Shirts,999,999
105,TSS Originals: Trippy Blaze,Oversized Full Sleeve T-Shirts,999,999
106,Peanuts: Reckless,Oversized Full Sleeve T-Shirts,899,899
107,Black Panther: Wakanda Forever,Hooded T-Shirts,1399,1399
108,Solids: Classic Red,Oversized T-Shirts,699,999
109,Manchester City: Champs Forever,Men Rugby Polos,1299,1299
110,F.R.I.E.N.D.S: Chillin',T-Shirts,599,599
111,Looney Tunes: Bugs Bunny,Oversized T-Shirts,999,999
112,Tom & Jerry: The Chase,Oversized T-Shirts,1049,1049
113,The Boys: The Real Hero,Oversized T-Shirts,1049,1049
114,Solids: Pine Green,Oversized T-Shirts,999,999
115,Naruto: Jiraya,Oversized T-Shirts,1299,1299
116,Supima: Soft Blue,Supima T-Shirts,999,999
117,Rick And Morty: Portal To Happiness,Oversized T-Shirts,1299,1299
118,Batman: Die A Hero,Oversized T-Shirts,1049,1049
119,The Witcher: Basilisk,Oversized T-Shirts,999,999
120,Naruto: Uzumaki,Men Relaxed Fit T-Shirts,799,799
121,The Boys: F*cking Diabolical,Oversized T-Shirts,699,999
122,Minions: Just Perfect,Polos,799,799
123,Solids: Rhubarb,Mandarin Polos,849,849
124,TSS Original: God Of Death,Oversized T-Shirts,949,949
125,"Solids: Black, White (Colourblock)",Hooded T-Shirts,899,899
126,Jurassic Park: Logo (Vintage Wash),Oversized T-Shirts,1049,1049
127,Batman: The Emblem,Drop Cut T-Shirts,899,899
128,Top Gun: Jets,Oversized T-Shirts,1049,1049
129,One Piece: Straw Hat Pirates,T-Shirts,599,599
130,Batman: Logo (Drip),T-Shirts,999,999
131,F.R.I.E.N.D.S: Doodle Fusion,Oversized T-Shirts,1049,1049
132,Truck Art: Iron Man,Oversized T-Shirts,949,949
133,Marvel: Avenger 63,Polos,1299,1299
134,Classic Sustainable Tee: Charcoal Black,Oversized T-Shirts,749,999
135,Popeye: Bring Em On,Oversized Full Sleeve T-Shirts,999,999
136,Black Panther: Mask 66,Oversized Polos,1299,1299
137,Spider-Man: Pavitr Prabhakar,Oversized T-Shirts,949,949
138,Supima: Stone Brown,Supima T-Shirts,999,999
139,Solids: Maroon,Oversized T-Shirts,799,799
140,Solids: Sea Blue,Oversized T-Shirts,799,799
141,Truck Art: Deadpool,Oversized T-Shirts,1049,1049
142,Courage: Existential Crisis,T-Shirts,699,699
143,Solids: White & Berry Colourblock,Oversized Polos,1399,1399
144,Hulk: The Incredible,Oversized T-Shirts,1299,1299
145,Solids: Pastel Pink,Oversized Full Sleeve T-Shirts,799,1199
146,TSS Originals: Beary Cute,T-Shirts,449,699
147,Classic Sustainable Tee: Cocoa Brown,Oversized T-Shirts,999,999
148,TSS Originals: Scarlet Scale,Men Rugby Polos,1049,1049
149,Donald Duck: Stripes,T-Shirts,699,699
150,Jurassic Park: Roaring Times,Oversized T-Shirts,999,999
151,Superman: Man Of Steel,T-Shirts,649,649
152,TSS Originals: Later Hater,Oversized T-Shirts,699,999
153,TSS Originals: Mosaic Blue,Oversized Full Sleeve T-Shirts,999,999
154,Solids: White,Oversized T-Shirts,899,899
155,Hulk: Gamma Fury,Oversized T-Shirts,1499,1499
156,Alien Invasion: Exploring Earth,Oversized T-Shirts,1049,1049
157,Archie: Riverdale Varsity,Oversized T-Shirts,849,849
158,Top Gun: Maverick Polo,Oversized Polos,1299,1299
159,Batman: Gotham Guardian,Oversized T-Shirts,999,999
160,TSS Originals: Astro Rock,Oversized T-Shirts,999,999
161,ISRO: India Pride,Oversized T-Shirts,999,999
162,Truck Art: Doctor Strange,Oversized T-Shirts,1049,1049
163,Solids Rugby Polo: Navy Striped,Men Rugby Polos,1049,1049
164,Tom And Jerry: Angry Tom,Oversized T-Shirts,899,899
165,Naruto: Battle Ready,Oversized T-Shirts,1049,1049
166,Solids: Deep Lavender,T-Shirts,599,599
167,TMNT: The Squad,T-Shirts,799,799
168,Solids: Sage Green,Oversized T-Shirts,599,999
169,Avengers: The Heroes,Oversized T-Shirts,1299,1299
170,Rick & Morty: Morty-fied,Oversized T-Shirts,699,999
171,Captain America: The First Avenger,T-Shirts,599,599
172,Wolverine: Weapon X,Oversized T-Shirts,1049,1049
173,Rick & Morty: Interdimensional,Oversized T-Shirts,999,999
174,Batman: Caped Crusader,Hooded T-Shirts,999,999
175,Solids: Powder Blue,Oversized T-Shirts,899,899
176,Looney Tunes: Jammin,Hooded T-Shirts,749,1199
177,Supima: Aqua Blue,Supima T-Shirts,999,999
178,House of the Dragon: Fire and Blood,Men Relaxed Fit T-Shirts,599,599
179,Solids: Yellow Ochre,Oversized T-Shirts,799,799
180,Rick And Morty: Escape,Hooded T-Shirts,699,1199
181,Scooby Doo: Halloween,Oversized T-Shirts,799,799
182,Ghost Rider: Spirit Of Vengeance,Oversized T-Shirts,799,999
183,Utility T-shirt: Blaze,Oversized T-Shirts,1049,1049
184,TSS Originals: Iris,Hooded T-Shirts,1499,1499
185,TSS Originals: Irish,Oversized Full Sleeve T-Shirts,999,999
186,Spider-Man: Logo (Colourblock),Zipper Polos,1399,1399
187,The Boys: Logo,Men Relaxed Fit T-Shirts,749,749
188,Rick And Morty: Morty Universe,Oversized T-Shirts,749,999
189,TSS Originals: Mumbai,Oversized T-Shirts,899,899
190,Solids: Superhero Red,Oversized T-Shirts,799,899
191,DC: Batman Beyond,Oversized T-Shirts,1299,1299
192,Marvel: Creative Chaos,Oversized T-Shirts,1199,1199
193,Rick and Morty: Reality,Oversized T-Shirts,999,999
194,TSS Originals: Happy High,Oversized T-Shirts,899,899
195,Minions: Blah Blah Blah,Oversized T-Shirts,1049,1049
196,Supima: White,Supima T-Shirts,999,999
197,Captain America: Super Soldier,Hooded T-Shirts,899,899
198,Supima: Sparkling Orange,Supima T-Shirts,999,999
199,Punisher: Logo,Oversized Polos,1099,1099
200,Solids: Off White,Oversized T-Shirts,999,999
201,Brooklyn Nine-Nine: 99th Precinct,Oversized T-Shirts,1049,1049
202,Garfield: Espresso Yourself,T-Shirts,799,799
203,Solids: Deep Lavender,Oversized T-Shirts,749,999
204,Monopoly: Broke!,T-Shirts,599,599
205,Solids: Washed Blue,T-Shirts,499,699
206,Squid Game: Front Man,Oversized Full Sleeve T-Shirts,999,999
207,Looney Tunes: Serial Chiller,Men Relaxed Fit T-Shirts,599,799
208,Supima: Dusty Pink,Supima T-Shirts,999,999
209,Supima: Light Olive,Supima T-Shirts,999,999
210,Solids: Burgundy,T-Shirts,649,649
211,Marvel: Comic Cards,Oversized T-Shirts,1049,1049
212,TSS Originals: Jasper,Oversized Full Sleeve T-Shirts,999,999
213,TSS Originals: Red,Oversized T-Shirts,799,999
214,Kung Fu Panda: Dragon Warrior,Oversized T-Shirts,1049,1049
215,Looney Tunes: Did Somebody Say..,Oversized T-Shirts,999,999
216,Deadpool: Dogpool,Oversized T-Shirts,899,899
217,Venom: Desi,Oversized T-Shirts,949,949
218,Superman: The Man of Steel,Oversized T-Shirts,899,899
219,Tom And Jerry: Devious Duo,Oversized T-Shirts,999,999
220,Spider-Man: Sigil,T-Shirts,599,599
221,Solids: Off White and Yellow,Hooded T-Shirts,849,1199
222,Naruto: Believe it,Oversized T-Shirts,699,999
223,DC: Batman & Nightwing,Hooded T-Shirts,1399,1399
224,Courage: Same Shit,T-Shirts,999,999
225,Naruto: Ghost of Uchiha,Oversized T-Shirts,1049,1049
226,Naruto: Sannin,Oversized T-Shirts,1049,1049
227,TSS Originals: Shadow,Oversized T-Shirts,1499,1499
228,Batman: The Dark Knight,Hooded T-Shirts,1399,1399
229,Avatar: Balance,Oversized T-Shirts,999,999
230,Supima: Peach,Supima T-Shirts,999,999
231,TSS Originals: Stitch,Oversized T-Shirts,1499,1499
232,Dungeons & Dragons: Owlbear,T-Shirts,599,599
233,Naruto: Uchiha Clan,Oversized Full Sleeve T-Shirts,799,1299
234,Supima: Faded Denim,Supima T-Shirts,999,999
235,Supima: Lime Green,Supima T-Shirts,999,999
236,TMNT: Cowabunga,Oversized T-Shirts,1049,1049
237,Iron Man: Logo,Oversized T-Shirts,999,999
238,Naruto: Gaara of the Sand,Men Relaxed Fit T-Shirts,749,749
239,Star Wars: Galactic Outlaw,Hooded T-Shirts,999,1399
240,Harry Potter: Quidditch Champ,Men Rugby Polos,1299,1299
241,Solids: Maroon,Oversized T-Shirts,699,999
242,Solids: Jade Green,Oversized T-Shirts,549,999
243,Kung Fu Panda: Master Of Chi,Oversized T-Shirts,1299,1299
244,Tom And Jerry: Thinking Tom,T-Shirts,899,899
245,Disney: Donald Duck Attitude,Oversized T-Shirts,999,999
246,Punisher: Lethal Mode,Oversized T-Shirts,999,999
247,Shazam: Thunderbolt,T-Shirts,649,649
248,Solid: White,Jerseys,599,599
249,Superman: The Classic Symbol,T-Shirts,599,599
250,Dungeons & Dragons: Vintage,Hooded T-Shirts,1049,1049
251,Tom And Jerry: Crime Time,T-Shirts,699,699
252,TSS Originals: Topaz Tint,Oversized Polos,1299,1299
253,Avatar: Make Tea Not War,Oversized T-Shirts,1049,1049
254,TSS Originals: Scribbles,Oversized T-Shirts,1299,1299
255,Marvel: Comic Nerd,T-Shirts,799,799
256,Solids: Black,Polos,1049,1049
257,Solids: Orange Blaze,Oversized T-Shirts,849,849
258,Batman: Madness In Gotham,Oversized T-Shirts,649,999
259,Solids: Baltic Sea,Polos,699,999
260,TSS Originals: Furious Dragon,Oversized Polos,1499,1499
261,TSS Originals: Mudart,Hooded T-Shirts,1499,1499
262,Iron Man: Arc Reactor (Glow In The Dark),Drop Cut T-Shirts,999,999
263,Batman: The Bat Sigil,Oversized T-Shirts,1049,1049
